#==============================================================
# YLL X-ray Extinction Cross Section Table
#==============================================================
# Authors      : Linli Yan, Aigen Li & Fangjun Lu
# Affiliation  : Anhui Jianzhu University, China
# Contact      : yan.linli@foxmail.com
# Reference    : Yan et al. ApJ, 2026, xxx, xxx
# DOI          : xx.xxxx/xxxxxx
# arXiv        : arXiv:xxxx.xxxxx
# Version      : v1.0
# Date         : 2026-05-06
#==============================================================
# Description:
#   Energy-dependent interstellar X-ray extinction model,
#   including gas absorption, dust absorption, and dust scattering.
#   Element abundance      : Proto-Sun + Galactic Chemical Evolution.
#   Dust model             : silicate + graphite/PAHs.
#   Grain size model       : essentially exponentially-cutoff power-law 
#   size distributions for silicate and graphitic grains; log-normal size
#   distributions for PAHs.
#   For details, see Yan et al. (2026).
#  Columns:
#  1 Energy (eV)
#  2 Gas_abs (cm^2/H)
#  3 Dust_abs (cm^2/H)
#  4 Dust_sca (cm^2/H)
#  5 Total_ext(= gas absorption + dust absorption + dust scattering) (cm^2/H)   
#  
#    Energy            Gas_abs           Dust_abs           Dust_sca          Total_ext
     100.000       7.038360e-20       4.065656e-22       3.140803e-22       7.110425e-20
     100.462       6.949181e-20       4.051957e-22       3.142057e-22       7.021121e-20
     100.926       6.860961e-20       4.038406e-22       3.142836e-22       6.932774e-20
     101.393       6.773610e-20       4.024835e-22       3.143190e-22       6.845291e-20
     101.861       6.687184e-20       4.011244e-22       3.143099e-22       6.758727e-20
     102.332       6.601621e-20       3.997639e-22       3.142547e-22       6.673023e-20
     102.804       6.516940e-20       3.984025e-22       3.141511e-22       6.588195e-20
     103.279       6.433464e-20       3.970402e-22       3.139973e-22       6.504568e-20
     103.757       6.350993e-20       3.956777e-22       3.137913e-22       6.421940e-20
     104.236       6.269378e-20       3.943155e-22       3.135305e-22       6.340163e-20
     104.718       6.189562e-20       3.929538e-22       3.132131e-22       6.260179e-20
     105.202       6.111520e-20       3.915931e-22       3.128364e-22       6.181963e-20
     105.688       6.034296e-20       3.902341e-22       3.123985e-22       6.104559e-20
     106.176       5.958185e-20       3.888770e-22       3.118964e-22       6.028263e-20
     106.666       5.883123e-20       3.875225e-22       3.113277e-22       5.953008e-20
     107.159       5.808908e-20       3.861710e-22       3.106901e-22       5.878594e-20
     107.654       5.735448e-20       3.848232e-22       3.099804e-22       5.804928e-20
     108.152       5.662772e-20       3.834796e-22       3.091955e-22       5.732040e-20
